기업명,주요업무,자격요건,우대사항
미리디,"""미리디에서 이런 일들을 함께 하고 싶어요""데이터 기반의 회계 투명성 확보 및 시스템 구축을 담당합니다.• 회계 데이터 정합성 검증 및 조정-외부 회계법인/감사 기준 데이터와 내부 DB 데이터 간의 수치 정합성 검증 및 차이 분석을 수행합니다.-회계 전표, 계정 과목 및 재무 보고 관련 데이터의 오류 탐지 및 원인 분석을 주도합니다.-재무회계팀과 협업하여 회계 데이터 산출 로직을 검토하고 데이터 기준 표준화 작업을 수행합니다.• 회계 데이터 마트 설계 및 구축-월별/분기별 결산 및 정기 보고에 필요한 재무/회계 분석용 데이터 마트 설계하고 구축합니다.-회계 시스템 원천 데이터를 추출, 변환, 적재하여 사용자 맞춤형 데이터로 제공합니다.• 전사 데이터 마트 구축 지원-회계 데이터 외에도 전사 비즈니스 영역의 핵심 데이터 마트 및 KPI 측정 지표 구축 프로젝트를 지원합니다.","""이런 분이라면 목표 달성에 확신을 얻을 것 같아요""• SQL을 활용한 복잡한 쿼리 작성, 데이터 추출 및 가공 경험이 있는 분• 데이터 정합성 검증 또는 데이터 품질 관리 경험이 있는 분• DB Table을 이해하고 Python, Spark 등으로 Workflow를 제작하여 데이터 마트를 구축한 경험이 있는 분• 유관 부서의 설득과 공감을 이끌어낼 수 있는 논리적인 문서 작성 및 커뮤니케이션 능력을 보유한 분.","""이런 분이라면 장기적으로 서로에게 더 긍정적일 것 같아요!""• 회계, 경영, 통계 관련 전공 학사 이상 (또는 이에 준하는 실무 경험 보유) • ERP, 회계 시스템 등 재무 관련 시스템의 데이터 구조에 대한 깊은 이해 및 연동 경험이 있는 분• Python/Spark 등을 활용한 데이터 처리 자동화 파이프라인 구축 경험이 있는 분| 활용 기술 스택• SQL, Python• Databricks, Athena• Tableau."
베이글코드(Bagelcode),"• 이런 일을 함께하고 싶습니다. • KPI 모니터링 : 업데이트 콘텐츠 및 마케팅 캠페인을 파악하고 이에 따른 Business KPI 설계 : KPI 변화 원인 조사• 데이터 시각화 : Spark SQL을 이용한 게임 로그 데이터 핸들링 : 대시보드 구축 및 관리• 게임 업데이트 성과 측정 : 유저 이탈, 게임 플레이 허들 등 문제 파악 및 개선 제안 : 새로운 콘텐츠 추가에 따른 KPI 영향 분석 : 콘텐츠 밸런스 조정 및 후속 조치 지원• A/B 테스트 : A/B 테스트 설계, 수행 및 결과 분석 : 통계적 검정 수행 및 최적의 업데이트 방향 제안.",• 이런 역량을 가지신 분을 찾습니다. • 지표의 흐름을 읽고 간결한 언어로 전달해 주실 수 있는 분• 데이터를 활용해 효과적으로 이해관계자를 설득할 수 있는 분• 논리적 사고와 수학적/통계학적 지식을 갖추고 그것을 잘 활용하시는 분• 문제가 생기면 집요하게 원인을 추적하는 데이터 탐정.,"• 이런 역량을 가지신 분을 우대합니다. • 다양한 게임을 깊이 있게 즐기시는 분• 게임을 비즈니스적인 시각에서 바라보실 수 있는 분• SQL을 활용하여 생각하는 데이터를 추출할 수 있는 분• Tableau와 같은 BI 툴을 이용한 데이터 시각화 경험이 있는 분• 비즈니스 레벨 이상의 영어 능력을 보유하신 분• 전산학, 컴퓨터공학, 산업공학, 통계학, 수학 등 관련 학위를 소지하셨거나 해당 분야에 대한 경험이 있는 분."
현대오토에버,"• 사업관리, 수익성 분석• 경영성과 보고관리• 예산 관리.",• 사업 타당성 및 관리 이해• 원활한 커뮤니케이션 역량.,• 공인회계사/세무사/AICPA 자격 보유• 영어 커뮤니케이션 우수.
아렌시아,"CEO Staff 인턴은 CEO직속 부서에서 CEO의 업무를 서포트 하며 인사이트 도출 및 전략 수립을 지원합니다. 또한 다양한 팀과 소통 및 협업하며 프로젝트를 지원합니다. 때문에 전사적 관점에서 문제를 찾고 해결방안을 구체화 하는 과정을 통해 사업을 보는 시각을 넓힐 수 있으며 전략 고도화 과정을 경험 합니다.현재 아렌시아는 빠른 성장세를 보이고 있는 뷰티 브랜드로 아렌시아의 고속 성장과정을 함께 하며 기여할수 있습니다.인턴쉽 6개월 이후 평가에 따라 정규직 전환기회가 주어지며, 본인의 강점을 살린 부서에 배치 되어 실무자로 성장할 수 있습니다.브랜드와 함께 성장해 가며 성장과 기여를 통해 유의미한 경험을 하고자 하는 분을 모시길 희망합니다.[주요업무]• 다양한 팀과 협업을 통한 인사이트 도출 지원 및 전략수립 서포트• 해외 및 국내 브랜드 사업 전략 실행을 위한 업무 서포트• 사업전략 수립을 위한 시장 분석 및 자료조사• 실무 팀과의 협업 프로젝트 지원.",• 학사 이상 (졸업예정자 지원 가능)• 화장품 및 뷰티 산업에 대한 관심도가 높으신 분• SNS 사용 경험이 많으며 SNS환경에 대한 인사이트가 있으신 분• 고객의 입장에서 가설을 수립하고 검증하는 활동을 즐기시는 분• 자료 분석 및 시장조사에 능하신 분.,"• 영어 또는 일본어 능통 한 분• 글로벌 뷰티 산업 및 K-뷰티 비즈니스에 관심이 많으신 분• 꼼꼼한 성향으로 문제를 찾고 해결함에 있어 뛰어난 능력이 있으신 분• 논리적으로 문제를 정의 하고 분석하고 목표지향적이신 분• 스타트업의 고속성장을 함께 하고 성장에 기여하고 싶으신 분• 높은 성장 의지를 가지고, 인턴을 넘어 본인의 강점에 맞는 실무자로 성장하고 싶으신 분."
비상교육,"[포지션 안내]• 채용 구분 : 경력직(3년 이상)• 근무 형태 : 정규직• 학력 : 대졸(4년제) 이상• 채용 직무 : 교육 플랫폼 서비스 기획(PM급)[이런 업무를 합니다]• 개인화 된 서비스 제공을 위한 데이터 분석 기반 기획서 작성• 추천 알고리즘 설계 및 최적화• 사용자 행동 데이터 분석• 메뉴 및 기능별 요구사항 정의서, IA, 스토리보드, 정책서 작성• 사용자 관점의 UI/UX 분석 및 설계 • 디자이너, 개발자, 데이터 분석가들과의 협업을 통한 디지인 및 개발 follow up.","• 교육 관련 플랫폼 서비스 기획 경력이 있으신 분• 실제 서비스 기획, 런칭, 운영 경험이 있으신 분• 데이터 분석 능력 및 추천 시스템 설계 능력이 있으신 분• 개인화 서비스 기획 경험이 있으신 분• 결제 및 환불 시스템에 대한 이해가 있으신 분• 데이터 관련 자격증 및 석사학위(우대)• AI 및 B2C, C2C 서비스에 대한 높은 이해도(우대)• e commerce 경력(우대)• 영어 능통자(우대)[공통사항]• 관련학과 전공자 및 자격증 소지자는 우대합니다.• 국가보훈대상자 및 장애인은 관련법령에 의거 우대합니다.• 해외여행 또는 비자발급 요건에 결격사유가 없어야 하며, 남성의 경우 병역필 또는 면제자여야 합니다.","[저희 팀을 소개합니다]안녕하세요, 비상교육 디지털기획전략Cell입니다.저희 팀은 글로벌 다양한 국가에 제공할 수 있는 디지털 교육 플랫폼을 기획하는 팀입니다.타겟으로 하고 있는 각 국가의 최적화된 수업 모델을 바탕으로 교사와 학생의 양방향 수업, 교사의 편리성, 학생의 수업 참여 증대, 양질의 디지털 콘텐츠 등을 담을 수 있는 플랫폼을 기획합니다.[저희는 이렇게 일하고 있습니다!]• 하이브리드 근무를 하며 업무의 효율성을 높이고 있습니다.• 교사 및 학생 등 사용자 관점에서 편리하고 유용한 플랫폼 기획을 하기 위해 끊임없이 고민하고 함께 논의합니다.• 각 업무마다 가장 효율적인 프로세스 및 방법을 실천합니다.• 정기적인 회의를 통해 서로 정보를 공유하고 협업을 원활하게 합니다.[팀원의 한마디!]A CP님 ‍저희는 업무를 진행하면서 적극적으로 자신의 의견을 나누고 경청하며 서로 성장하려고 노력합니다.교육 플랫폼 기획과 관련된 업무 경험이 있으신 분과 함께 하고 싶습니다.B CP님 ‍업무에 대한 열정이 넘치는 곳입니다. 긍정적인 마인드로 함께 성장할 팀원을 기다립니다.C CP님 ‍밝고 즐거운 분위기 안에서 소통하며 따뜻하고 유쾌한 동료들이 있는 팀입니다. 좋은 팀원들과 함께 웃으며 즐겁게 일할 수 있는 분을 기다립니다."
코어16,• Research Analyst (인턴).,"• 글로벌 매크로, 산업, 이벤트 기반 리서치, 이벤톨로지(Eventology) 프레임워크 확장.",
베이글코드(Bagelcode),"• 이런 일을 함께하고 싶습니다. • KPI 모니터링 : 업데이트 콘텐츠 및 마케팅 캠페인을 파악하고 이에 따른 Business KPI 설계 : KPI 변화 원인 조사• 데이터 시각화 : Spark SQL을 이용한 게임 로그 데이터 핸들링 : 대시보드 구축 및 관리• 게임 업데이트 성과 측정 : 유저 이탈, 게임 플레이 허들 등 문제 파악 및 개선 제안 : 새로운 콘텐츠 추가에 따른 KPI 영향 분석 : 콘텐츠 밸런스 조정 및 후속 조치 지원• A/B 테스트 : A/B 테스트 설계, 수행 및 결과 분석 : 통계적 검정 수행 및 최적의 업데이트 방향 제안.",• 이런 역량을 가지신 분을 찾습니다. • 지표의 흐름을 읽고 간결한 언어로 전달해 주실 수 있는 분• 데이터를 활용해 효과적으로 이해관계자를 설득할 수 있는 분• 논리적 사고와 수학적/통계학적 지식을 갖추고 그것을 잘 활용하시는 분• 문제가 생기면 집요하게 원인을 추적하는 데이터 탐정.,"• 이런 역량을 가지신 분을 우대합니다. • 다양한 게임을 깊이 있게 즐기시는 분• 게임을 비즈니스적인 시각에서 바라보실 수 있는 분• SQL을 활용하여 생각하는 데이터를 추출할 수 있는 분• Tableau와 같은 BI 툴을 이용한 데이터 시각화 경험이 있는 분• 비즈니스 레벨 이상의 영어 능력을 보유하신 분• 전산학, 컴퓨터공학, 산업공학, 통계학, 수학 등 관련 학위를 소지하셨거나 해당 분야에 대한 경험이 있는 분."
센트비(Sentbe),"[기술 스택&사용 툴]• SQL (PostgreSQL, Amazon Redshift SQL), Tableau, AWS (Redshift, Aurora, Apache Airflow), Jira, Confluence, Slack [합류 후 담당 업무 입니다]• SentBe 프로덕트 전반적인 성장과 비즈니스 현황에 대한 오너십을 갖고, 이해관계자와 협력하여 새로운 사업기회와 개선 영역을 파악합니다.• 경영 의사결정을 위한 모니터링 대시보드를 구축/유지하고, 기존 지표 및 분석 프로세스 개선을 주도합니다.• JIRA 보드로 접수되는 사내 데이터 관련 요청을 관리합니다.• Infrastructure, Backend Engineering 팀과 협업하여 데이터 품질 및 정합성을 검증합니다.","[이런 분을 모시고 있습니다]• SQL을 활용하여 3년 이상의 데이터 분석 실무 경험이 있으신 분• 시각화 도구, 특히 Tableau를 활용한 대시보드 구축 경험이 1년 이상 있으신 분• 비즈니스 성과 지표 전반에 대한 폭넓은 이해를 갖춘 분• Raw 데이터 정제부터 문제 정의, 인사이트 도출 및 액션 아이템 제안까지 데이터 분석 전반의 과정을 주도적으로 수행해 나갈 수 있으신 분• 여러 이해관계자를 위해 다수의 프로젝트를 동시에 관리할 수 있는 역량을 갖추신 분• 체계적이고 디테일 중심적인 사고를 갖추신 분• 분석 결과를 비기술적 이해관계자에게도 쉽게 이해될 수 있도록 명확하게 전달하는 역량을 갖추신 분.","[이런 분이라면 더욱 좋습니다]• 통계 분석을 위한 Python 또는 R 활용 역량을 갖추신 분• 머신 러닝 경험이 있으신 분• 핀테크 및 금융업에 대한 높은 이해도 또는 경험을 보유하신 분• Global 업무 환경에서 영어로 원활한 커뮤니케이션이 가능하신 분[지원 시 유의 사항]• 동일한 포지션의 재지원은 최종 결과 안내를 받은 시점으로부터 6개월 이후에 가능합니다.• 전형 진행 중 허위 사실이 있는 경우 전형 진행이 취소될 수 있습니다.• 취업 보호 대상자는 관련 법규에 의거하여 우대합니다.• 신규 입사자 입사 시, 직원 알기 제도(KYE)를 수행하며 자금 세탁 등의 위험이 높은 것으로 판단될 경우, 입사 진행이 어려울 수 있습니다. • KYE (직원 알기 제도, Know Your Employee): 자금세탁 및 공중협박자금조달 등의 행위에 이용되지 않도록, 회사가 임·직원을 채용하는 때에 그 신원 사항 등을 확인하고 심사하는 제도."
당근마켓,"• Data Analyst는 Data Analyst Chapter에 소속됨과 동시에 특정 사업 조직이나 전사 조직에 소속되어 있어요• 제품 성장과 사용자 경험 개선에 필요한 데이터 분석 과제를 정의해요. 제품, 유저 행동, 마케팅, 매출 등 다양한 차원의 데이터를 분석하고 이를 바탕으로 인사이트와 전략을 제시해요.• 전사 목표와 팀의 목표가 지표로 체계화, 구조화될 수 있도록 해요. 이에 대해 구성원 누구나 접근 가능한 환경을 만들어요.• 목표 달성을 위한 지표와 가설을 설정하고, A/B 테스트 설계와 해석을 통해 action item을 제안해요.• 분석을 통해 얻은 인사이트를 구성원들이 쉽게 이해할 수 있도록 구조화해서 전달해요.• 팀의 data-driven 의사결정 문화를 리드해요.","• 웹/앱 데이터 분석 경험이 있으며, 이를 통해 제품을 개선해본 경험이 있는 분• 복잡한 문제를 해결 가능한 형태로 정의하고, 문제 해결을 위한 다양한 가설을 입체적으로 생각할 수 있는 분• 모바일 서비스 데이터 분석 방법 (AARRR 등)에 대한 이해도가 있는 분• A/B 테스트를 설계하고 실행해 제품 개선을 이끈 경험이나 관련 지식이 있는 분• SQL (Bigquery), Python 등을 이용해 데이터 조회 및 가공을 능숙하게 하실 수 있는 분• 분석에 기반한 의사결정 내용을 구성원들에게 효과적으로 전달하고 소통할 수 있는 분.","• 데이터를 활용해 전략을 제시하고 비즈니스 임팩트를 내본 경험이 있는 분• 분석을 위한 데이터 모델링 전 과정을 직접 수행한 경험이 있는 분• 마케팅 데이터 분석과 마케팅 자동화에 대한 관심이 있고 Appsflyer, Adjust 등 MMP (Mobile Measurement Partner)데이터를 다뤄본 경험이 있는 분• 당근의 비전과 가치를 이해하고 사용자 경험과 비즈니스 모두를 고려한 의사결정을 경험해본 분."
모두싸인,"- 전사 및 각 부서의 KPI, 리포트, 대시보드 등 데이터 기반 의사결정 지원에 참여- 데이터 프로세스 개선, 신규 및 복합 지표 개발에 참여 및 운영 지원, 데이터 품질 진단 및 파이프라인 운영 지원- Ad-hoc 데이터 요청 대응 및 현업 커뮤니케이션- 대용량·복잡 데이터 분석 및 데이터 인프라 운영 지원- 데이터 분석 프로젝트와 주요 비즈니스 이슈 분석에서 지원 역할을 수행하며, 데이터 기반 인사이트 제공.","- 최소 2년 이상의 데이터 분석 실무 경험- SQL을 이용한 데이터 추출 및 분석 수행 경험 (복잡한 조인, 집계, 서브쿼리 등 실무 쿼리 작성 가능)- Google Sheets, Excel, BI Tool 등 실무 활용 경험 (고급 함수, 피벗테이블, 리포트 작성 등)- 데이터 수집, 정리, 전처리 및 데이터 품질관리 경험- B2B SaaS Subscription 지표(ARR, MRR, CHURN, CAC, LTV 등) 기초 이해.","- 수학, 통계 등 관련 분야의 학사 학위 보유- B2B SaaS 업계 근무 경험 또는 유관 프로젝트 참여 경험- Python, R 등 데이터 분석/ETL 프로그래밍 경험- 조직 내 다양한 부서와 데이터 관련하여 원활한 커뮤니케이션 경험."
한국신용데이터(KCD),"데이터 분석 및 의사결정 지원-다양한 비즈니스 요구사항을 파악하고 개선할 수 있는 가설을 수립하며, 통계적 접근을 통한 인사이트 발굴-통계 분석, 실험 설계(A/B 테스트), 대시보드 개발(Tableau 등), KPI 지표 모니터링 및 리포팅-고객 생애가치(LTV) 기반 매출 및 리텐션 분석, 퍼널 또는 고객 여정 분석 통해 서비스 개선(Lean Analytics, 아하모먼트 분석 등)SQL, Python, Spark 등을 활용한 데이터 마트 및 파이프라인 개발-데이터브릭스 플랫폼을 활용한 ETL/ELT 파이프라인 설계 및 개선, 데이터 엔지니어와의 협업-정형/비정형 데이터 마트 설계 및 표준화소상공인 도메인 특화 AI/ML 모델 개발 및 발굴-캐시노트 데이터 기반 추천, 예측, 분류, 이상 탐지 등 머신러닝/딥러닝 모델 개발-LLM 등 AaaS를 활용한 내부 업무 효율화 및 고객 대상 서비스 프로덕트 기획 및 발굴.","-데이터 관련 전공(통계학, 컴퓨터공학, 산업공학, 수학 등) 및 5년 이상의 데이터 분석/사이언스 실무 경력-SQL, Python을 활용한 데이터 처리 및 분석 역량-ML/DL Framework 사용 경험 (Scikit-learn, PyTorch, TensorFlow, SparkML 등)-데이터 시각화 및 리포팅 툴(Tableau, Power BI 등) 활용 경험-원활한 커뮤니케이션 및 협업 역량, 논리적 사고력-기초 통계 및 머신러닝/딥러닝/LLM 모델에 대한 관심과 적극적인 성장 의지.","주도적인 프로젝트 수행 경험 및 데이터 기반 전략적 사고 능력클라우드 환경(AWS, GCP, Azure 등)에서의 데이터 분석 및 ML 운영 경험데이터 거버넌스 설계 및 파이프라인(ETL/ELT) 구축 경험 (Airflow, Luigi, Databricks, DBT 등)다양한 데이터 유형(tensor, matrix, time series, JSON, unstructured)과 데이터베이스를 활용한 복합 데이터 처리 경험AI 오픈소스(HuggingFace, LangChain, LlamaIndex 등) 또는 AaaS(Bedrock, ChatGPT, Text2SQL, AI Agent 등)를 활용한 서비스 개발 경험캐글(Kaggle) 또는 데이콘(Dacon) 경진대회 입상 경력• 통계 분석 및 실험 설계(A/B Testing) 지식과 실무 적용 경험• MLOps(MLFlow, Kubernetes, Prometheus, Grafana 등)에 대한 이해 및 실제 적용 사례• 대규모 트래픽 서비스에서 로그 데이터 분석 및 성능 모니터링 경험• AI 오픈소스(HuggingFace, LangChain, LlamaIndex 등) 또는 AaaS (Bedrock, ChatGPT, Text2SQL, AI Agent 등)를 활용한 서비스 개발 경험• 데이터 기반 프로덕트의 API 설계, 프로토타입 개발 및 서버 운영 지식 (FastAPI, Flask, Docker 등)."
번개장터,"• 팀 내 스쿼드 멤버들과 협업하며 데이터 분석가로서 목표 달성을 위한 역할을 수행해요.• 제품 및 비즈니스 측면에서 데이터에 기반한 의사결정을 내릴 수 있도록 가설을 수립하고 데이터를 분석해 인사이트를 도출해요.• 다양한 실험 과정에서 지표를 설계하고 결과를 해석해 인사이트를 도출하며, 서비스를 지속적으로 개선해요.","• 3년 이상 데이터 분석가로서 제품/서비스 성장에 기여한 경험이 있으신 분 또는 이에 준하는 경험을 보유하신 분• SQL을 능숙하게 활용하여 비즈니스 문제 해결에 필요한 데이터를 추출하고 가공하는 데 어려움이 없으신 분• 주어진 과제나 가설에 대해 분석 방향을 직접 설계하고, 논리적으로 문제를 해결해 나갈 수 있으신 분• 데이터 분석 결과를 명확하게 전달하고 설득할 수 있는 뛰어난 커뮤니케이션 능력을 갖추신 분• Redash, Tableau 등의 BI Tool이나 Amplitude 등의 PA Tool을 활용한 대시보드 구축 및 인사이트 리포트가 가능하신 분.",• 중고거래 및 이커머스 서비스에 대한 깊은 이해 또는 높은 관심을 가지고 계신 분• 프로덕트와 비즈니스 분석을 모두 경험해 보신 분• 통계적 사고를 기반으로 A/B 테스트를 설계하고 결과를 분석해 본 경험이 풍부하신 분• Python이나 R을 활용한 통계 분석 및 데이터 핸들링에 익숙하신 분.
오픈서베이,"【 이런 일을 합니다 】• 트렌드리포트 콘텐츠 기획, 리서치, 발행 전 과정 총괄• 내·외부 이해관계자 의견을 반영하여 콘텐츠 방향과 품질 향상• 트렌드리포트 외 데이터 기반 인사이트 콘텐츠 기획 및 운영 (선택적으로 확장)• 콘텐츠 운영 프로세스 고도화 및 관리 (캘린더, 퀄리티, 리소스 등).","【 이런 배경을 가진 분을 찾습니다 】• 3년 이상의 데이터 또는 리서치 결과 기반 콘텐츠 기획/제작 경험• 다양한 이해관계자와의 협업 및 의견 조율 경험• 데이터 기반 스토리텔링 및 논리적 사고 능력• 트렌드, 마케팅, 소비자 관련 인사이트에 대한 관심과 감각• 데이터를 근거로 자신의 관점을 설득력 있게 전달하는 능력【 이 포지션의 성장 경로는 이렇게 설계되어 있습니다 】• 입사 후 6개월: 트렌드리포트 안정 운영 및 품질 고도화• 1년 후: 산업·소비자 트렌드 전문가 및 콘텐츠 전략가로서 역할 확장• 2년 후: 데이터 인사이트 기반 신규 콘텐츠/브랜드 IP 확장【 이런 분들과 협업합니다 】• 리서처 (트렌드 분석 및 데이터 해석)• 디자이너 (콘텐츠 디자인/배포)• 브랜드 마케터 (브랜드 방향성 및 퀄리티 리뷰, 확산전략 등)【 지원자 FAQ 】Q. 콘텐츠 작성자가 아니라 기획자 중심 포지션인가요?A. 리포트 작성이 업무 영역 중 하나이나, 콘텐츠의 기획과 방향성을 리딩하는 역할이 핵심입니다. 리포트 작성에서 시작하고 업무 제반을 관장하게 되면, 전체 기획/운영과 품질 관리를 중점적으로 수행하는 방향으로 성장해갈 수 있습니다.Q. 트렌드리포트 외에도 다른 콘텐츠를 담당하게 되나요?A. 채용 직후에는 트렌드리포트 전반 운영이 주요 역할이며, 콘텐츠 전략으로 역할 확장이 가능해지면 신규 콘텐츠 런칭 기획 및 운영에도 참여할 수 있습니다.Q. 리서치 경험이 꼭 있어야 하나요?A. 데이터를 해석하고 콘텐츠로 옮기는 감각이 있다면 꼭 리서치 백그라운드는 없어도 됩니다.Q. 리서치 경험만 있어도 되나요?A. 리서치 수행 경험은 트렌드리포트 콘텐츠 오너로서 아주 중요한 자산입니다. 다만, 리서치 결과를 '어떻게 독자의 눈높이에서 흥미로운 스토리로 만들고 표현할 것인가'에 대한 고민과 실행력이 더 중요합니다.Q. 정형화된 프로세스 안에서 운영하나요, 아니면 자율성이 큰가요?A. 운영 기반은 있지만, 개선 여지가 많은 상황입니다. 콘텐츠 전략, 운영 체계, 워크플로우에 대한 제안과 실험이 활발하게 수용됩니다.Q. 브랜딩, 마케팅과 협업도 하나요?A. 마케팅팀과 유기적으로 협업하며, 콘텐츠의 유통/확산 관점까지 고려합니다.",
이그니스,합류하시면 이런 일을 함께 해요 • 사업 운영 관리 체계 구축 및 손익·비용·재고 등 주요 지표 관리• 데이터 기반 사업 성과 분석 및 인사이트 도출• 전사 KPI 기반 리포트 작성 및 전략 실행·개선 피드백 루프 운영• 영업·상품·SCM·마케팅 등 유관 부서 협업을 통한 과제 해결.,이그니스는 이런 분을 찾고 있어요 • Excel·Google Sheets 등 데이터 분석 툴 활용에 능숙하신 분• 핵심 사업 지표를 이해하고 정량적 판단 및 실행 중심 사고를 갖춘 분• 운영 체계 구축·개선 또는 실행 프로세스 개선 경험이 있는 분.,이런 경험을 가진 분이라면 더욱 좋아요! • 식품 산업 내 유통(채널) 이해도와 사업 기획·운영 경험을 함께 갖추신 분• 데이터 분석 및 대시보드 설계·활용 경험이 있으신 분• 부서 간 협업으로 정의되지 않은 영역(Gray zone)을 구조화해본 경험이 있는 분.
에듀템,"영어 에듀테크 서비스기획 (화면기획서 작성) ㆍAI 융합 영어, 외국어 에듀테크서비스 기획ㆍ자사 서비스 고도화 (스피킹라이즈, 스픽마스터등)ㆍLMS 관리자시스템 기획ㆍB2B 서비스 제안서 및 서비스소개서 작성ㆍ거래처와의 업무 협업 및 소통ㆍ기타 콘텐츠 기획 및 AI 성능 검수등.","ㆍ학력 : 대학교졸업 이상ㆍ경력 : 경력 3년 이상(팀장급)ㆍ영어교육학, 영문학, 교육공학, 관련 전공자ㆍ에듀테크 플랫폼 서비스에 이해도가 높은자 (교사 ＜-＞학생).","ㆍ외국어 교육 서비스기획 능력이 우수한 분ㆍ사용자 편의성을 향상시키고 서비스 고도화 가능하신 분ㆍ동료, 거래처 담당자와의 소통 능력이 우수한 분ㆍFigma, Notion, PowerPoint, HWP 활용가능하신 분."
쿠팡,"• Data를 통한 비즈니스 의사 결정들을 지원• 기존 프로세스 개선 및 신규 지표 개발, 관리.","• 능숙한 SQL 사용 경험 및 역량을 보유하신 분 (SQL 코딩테스트 별도 진행 필수)• Tableau 또는 Power BI를 이용한 비즈니스 인텔리전스 리포팅, 대시보딩 경력을 보유하신 분• 빠르게 변화하는 비즈니스 환경에 부합하는 업무 우선순위에 대한 판단력으로 멀티태스킹이 가능하신 분.","• 이커머스 또는 인터넷 서비스 업계 근무 경력을 보유하신 분• Python, R 등기타 Programming language 사용 경력을 보유하신 분."
엔카닷컴,"[로그 설계 및 관리]• 앱/웹 신규 및 기존 기능의 이벤트·로그 설계 및 정의서 관리• 로그 기반의 분석 친화적 데이터 구조 설계 및 품질 검증 자동화• 이벤트 로깅 구조 개선 및 표준화 설계 (서비스 확장 대비 지속 가능한 구조로 리빌드)[데이터 마트 설계 및 운영]• 로그 데이터를 기반으로 한 데이터 마트 설계 및 정합성 검증• 전사 주요 지표 생성 로직 및 데이터 출처 관리• Tableau 등 BI 환경에서의 데이터셋 게시 및 운영 지원[데이터 품질·표준화·거버넌스]• 메타데이터, 용어집, 지표 정의 등 표준 관리 체계 운영• 데이터 품질 모니터링 및 이상탐지 자동화 구축• 로그-마트 간 lineage 관리 및 문서화 ■ 세 영역(로그, 마트, 거버넌스)을 유기적으로 이해하고 연결하며, 데이터의 신뢰성과 일관성을 확보하는 통합적 역할 수행.","• (신입의 경우) 데이터 구조나 품질 개선에 대한 높은 관심과 학습 의지• SQL 숙련 및 데이터 모델링 이해• 이벤트·로그 설계 경험 또는 이에 준하는 프로젝트 경험 (SDK, Tag Manager, GA4, Firebase 등 활용 가능)• 로그 개편 또는 데이터 구조 개선 과정에 참여한 경험 - 개인 수준이 아닌 서비스/조직 차원의 개선 방향 이해 및 실행 경험• 데이터 파이프라인, 거버넌스, BI 등 데이터 전체 흐름을 이해하고 논리적으로 구조화 할 수 있는 역량• 명확한 커뮤니케이션 및 체계적 문서화.","• 3년 이상 경력자 중, 조직 단위의 이벤트·로그 구조 개편 및 표준화 프로젝트를 주도하거나 실질적으로 참여한 경험자• 데이터 품질 모니터링 및 정합성 검증 자동화 경험• QA 및 데이터 검증 로직 자동화 개발 경험• DataHub, Amundsen 등 메타데이터 관리 시스템 운영 경험 또는 구축 프로젝트 참여 경험• Tableau 등 BI 데이터셋 구조 설계 및 게시 경험• 데이터 파이프라인(Airflow, dbt 등) 관리 경험• 서비스 확장 또는 신규 기능 출시 시, 로그 구조 리빌드 및 마트 정합성 개선을 직접 수행한 경험자 우대."
